pred_index,pred_time_sec,similarity,nearest_gt_dist_sec,fp_bucket
1,123.08,0.327068,100.08,offset_near_miss
2,165.47,0.404492,92.53,offset_near_miss
4,273.419,0.546733,15.419,redundant_near_gt
5,328.149,0.458087,70.149,offset_near_miss
6,386.184,0.534554,128.184,spurious_far
7,479.299,0.54944,221.299,spurious_far
8,554.349,0.468763,197.651,spurious_far
9,589.719,0.534173,162.281,spurious_far
10,628.9,0.37765,123.1,spurious_far
11,807.39,0.41391,55.39,offset_near_miss
12,839.58,0.518054,87.58,offset_near_miss
13,900.03,0.52039,49.97,offset_near_miss
15,988.599,0.411999,38.599,offset_near_miss
16,1060.199,0.387001,110.199,offset_near_miss
17,1108.18,0.431981,158.18,spurious_far
18,1244.459,0.462458,244.541,spurious_far
19,1307.65,0.291323,181.35,spurious_far
20,1341.63,0.447736,147.37,spurious_far
21,1386.079,0.435424,102.921,offset_near_miss
23,1515.819,0.445066,26.819,redundant_near_gt
24,1587.64,0.510139,98.64,offset_near_miss
25,1622.969,0.500452,133.969,spurious_far
26,1706.969,0.259256,60.031,offset_near_miss
28,1812.979,0.430815,45.979,offset_near_miss
29,1887.42,0.398822,120.42,spurious_far
30,1990.05,0.420035,223.05,spurious_far
31,2078.61,0.521339,311.61,spurious_far
32,2251.02,0.386709,420.98,spurious_far
33,2326.09,0.454784,345.91,spurious_far
34,2385.879,0.49195,286.121,spurious_far
35,2442.51,0.382182,229.49,spurious_far
36,2498.219,0.335265,173.781,spurious_far
37,2530.87,0.329735,141.13,spurious_far
38,2590.239,0.348202,81.761,offset_near_miss
40,2744.02,0.303506,72.02,offset_near_miss
41,2832.949,0.259249,160.949,spurious_far
42,2872.429,0.528354,200.429,spurious_far
43,2906.59,0.432996,234.59,spurious_far
44,2991.889,0.466609,319.889,spurious_far
45,3040.75,0.509755,368.75,spurious_far
46,3094.669,0.313493,405.331,spurious_far
47,3125.58,0.519444,374.42,spurious_far
48,3229.919,0.332704,270.081,spurious_far
49,3281.159,0.469158,218.841,spurious_far
50,3367.06,0.327689,132.94,spurious_far
51,3431.62,0.47015,68.38,offset_near_miss
53,3543.75,0.448648,43.75,offset_near_miss
54,3617.03,0.465229,117.03,offset_near_miss
55,3713.61,0.458842,213.61,spurious_far
56,3853.5,0.395938,353.5,spurious_far
57,3948.51,0.531414,448.51,spurious_far
58,4019.82,0.438463,519.82,spurious_far
59,4083.76,0.443807,533.24,spurious_far
60,4120.609,0.264116,496.391,spurious_far
61,4165.579,0.523198,451.421,spurious_far
62,4209.7,0.498971,407.3,spurious_far
63,4241.77,0.411341,375.23,spurious_far
64,4313.319,0.427255,303.681,spurious_far
65,4387.56,0.433203,229.44,spurious_far
66,4419.64,0.518195,197.36,spurious_far
67,4480.439,0.480092,136.561,spurious_far
68,4525.669,0.461667,91.331,offset_near_miss
70,4687.87,0.324593,70.87,offset_near_miss
71,4765.689,0.417672,148.689,spurious_far
72,4798.29,0.502622,181.29,spurious_far
73,4888.02,0.419496,271.02,spurious_far
74,4962.95,0.40005,345.95,spurious_far
75,5027.419,0.110482,354.581,spurious_far
76,5111.47,0.372913,270.53,spurious_far
77,5175.419,0.466125,206.581,spurious_far
78,5242.66,0.418992,139.34,spurious_far
79,5301.85,0.449099,80.15,offset_near_miss
80,5333.299,0.40107,48.701,offset_near_miss
82,5444.399,0.424443,62.399,offset_near_miss
83,5491.2,0.512768,109.2,offset_near_miss
84,5594.79,0.39295,65.21,offset_near_miss
86,5726.899,0.308178,66.899,offset_near_miss
87,5776.99,0.484694,116.99,offset_near_miss
88,5833.43,0.405053,173.43,spurious_far
89,5899.14,0.416258,239.14,spurious_far
90,5932.18,0.520927,272.18,spurious_far
91,5993.589,0.437183,333.589,spurious_far
92,6075.97,0.389594,415.97,spurious_far
93,6125.56,0.398985,465.56,spurious_far
94,6229.879,0.424583,569.879,spurious_far
95,6265.12,0.533298,605.12,spurious_far
96,6302.43,0.455231,642.43,spurious_far
97,6335.37,0.349855,675.37,spurious_far
98,6393.839,0.430674,733.839,spurious_far
99,6466.689,0.454147,806.689,spurious_far
100,6502.529,0.402472,842.529,spurious_far
101,6547.52,0.346858,887.52,spurious_far
102,6585.979,0.433449,925.979,spurious_far
103,6629.529,0.472051,969.529,spurious_far
104,6695.669,0.433365,1035.669,spurious_far
