Model,Lecture,Precision,Recall,F1,Predicted Boundaries,Ground Truth Boundaries
Baseline,lecture1,0.0619,0.6667,0.1132,97,9
Marker,lecture1,0.122,0.5556,0.2,41,9
Filler,lecture1,0.048,0.6667,0.0896,125,9
Slide,lecture1,0.0,0.0,0.0,16,9
+Marker,lecture1,0.0667,0.7778,0.1228,105,9
+Filler,lecture1,0.0513,0.8889,0.097,156,9
+Slide,lecture1,0.0583,0.6667,0.1071,103,9
All,lecture1,0.0482,0.8889,0.0914,166,9
Baseline,lecture2,0.0725,0.9091,0.1342,138,11
Marker,lecture2,0.125,0.4545,0.1961,40,11
Filler,lecture2,0.0741,0.9091,0.137,135,11
Slide,lecture2,0.1429,0.2727,0.1875,21,11
+Marker,lecture2,0.0748,1.0,0.1392,147,11
+Filler,lecture2,0.0585,1.0,0.1106,188,11
+Slide,lecture2,0.069,0.9091,0.1282,145,11
All,lecture2,0.0561,1.0,0.1063,196,11
Baseline,lecture3,0.0805,0.7,0.1443,87,10
Marker,lecture3,0.1111,0.4,0.1739,36,10
Filler,lecture3,0.0726,0.9,0.1343,124,10
Slide,lecture3,0.1429,0.1,0.1176,7,10
+Marker,lecture3,0.0874,0.9,0.1593,103,10
+Filler,lecture3,0.06,0.9,0.1125,150,10
+Slide,lecture3,0.0899,0.8,0.1616,89,10
All,lecture3,0.0637,1.0,0.1198,157,10
Baseline,lecture4,0.0562,0.5556,0.102,89,9
Marker,lecture4,0.0652,0.3333,0.1091,46,9
Filler,lecture4,0.0673,0.7778,0.1239,104,9
Slide,lecture4,0.125,0.1111,0.1176,8,9
+Marker,lecture4,0.0609,0.7778,0.1129,115,9
+Filler,lecture4,0.058,0.8889,0.1088,138,9
+Slide,lecture4,0.0667,0.6667,0.1212,90,9
All,lecture4,0.0592,1.0,0.1118,152,9
