Setting,marker_window_pm_sec,semantic_confirm_threshold,min_distance_sec,Precision,Recall,F1,Predicted Boundaries
F1_pm10_c055_md20,10,0.55,20,0.3447,0.2078,0.2577,21.0
F1_pm10_c06_md20,10,0.6,20,0.3245,0.2634,0.2873,28.25
F1_pm10_c065_md20,10,0.65,20,0.2807,0.2685,0.2719,32.75
F1_pm15_c055_md20,15,0.55,20,0.3232,0.2487,0.2781,26.75
F1_pm15_c06_md20,15,0.6,20,0.3079,0.2939,0.2967,33.5
F1_pm15_c065_md20,15,0.65,20,0.2735,0.3085,0.2873,39.0
F1_pm20_c055_md20,20,0.55,20,0.3123,0.2971,0.3022,32.5
F1_pm20_c06_md20,20,0.6,20,0.2918,0.3525,0.3161,41.5
F1_pm20_c065_md20,20,0.65,20,0.2713,0.3745,0.3117,47.5
F1_pm25_c055_md20,25,0.55,20,0.2869,0.3118,0.2966,37.5
F1_pm25_c06_md20,25,0.6,20,0.2686,0.3745,0.3104,48.0
F1_pm25_c065_md20,25,0.65,20,0.2461,0.3968,0.3014,55.25
